word,popularity
the,1000
time,950
they,940
work,920
world,900
people,880
think,860
water,840
today,820
system,800
computer,780
company,760
problem,740
information,720
service,700
support,680
example,660
experience,640
project,620
product,600
application,580
restaurant,560
manager,540
network,520
research,500
security,480
process,460
professional,440
performance,420
community,400
approach,380
battery,360
complete,340
function,320
general,300
control,280
respect,260
remember,240
section,220
several,200
appreciate,180
construction,160
communication,140
competition,120
conversation,100
international,90
individual,80
fundamental,70
commercial,60
appropriate,50
car,450
care,380
card,320
carry,280
career,250
careful,200
carpet,120
carbon,90
bat,300
battle,250
bathroom,400
batch,180
come,500
consider,380
continue,320
connection,280
condition,240
for,600
form,420
force,360
forest,320
forget,280
forward,260
format,200
former,180
formula,160
fun,320
funny,280
furniture,240
future,580
game,480
games,440
garage,320
garden,380
gather,280
happy,520
happen,480
hard,460
hand,440
have,800
health,600
help,580
here,560
home,520
house,500
into,480
interest,460
interview,420
internet,680
individual,380
inside,340
instead,320
man,400
many,600
make,700
market,520
material,460
maybe,440
machine,420
manage,380